		HOLA	                                                                             TEL.	4282-9358 / 1555234202 / 1522112978 / 				494*7130					
	BOLSAS	BOLSAS CAMISETAS ECONOMICAS	45X60     (blanca)	19,00	100,00	$17,65	20,00	$353,00	7,11	PAQ	PAQ DE 100 UNID.  DE 45X60     (blanca) A $19 C/U	20 PAQS DE $17,65 C/U A $353	0,2 PAQS DE 100 UNIDADES A $353
	BOLSAS	BOLSAS CAMISETAS ECONOMICAS	50X60     (color)	24,00	100,00	$21,60	20,00	$432,00	10,00	PAQ	PAQ DE 100 UNID.  DE 50X60     (color) A $24 C/U	20 PAQS DE $21,6 C/U A $432	0,2 PAQS DE 100 UNIDADES A $432
	BOLSAS	BOLSAS CAMISETAS ECONOMICAS	50X70     (color)	26,00	100,00	$23,40	15,00	$351,00	10,00	PAQ	PAQ DE 100 UNID.  DE 50X70     (color) A $26 C/U	15 PAQS DE $23,4 C/U A $351	0,15 PAQS DE 100 UNIDADES A $351
	BOLSAS	BOLSAS CAMISETAS ECONOMICAS	60X80    blanca  	45,00	100,00	$40,50	5,00	$202,50	10,00	PAQ	PAQ DE 100 UNID.  DE 60X80    blanca   A $45 C/U	5 PAQS DE $40,5 C/U A $202,5	0,05 PAQS DE 100 UNIDADES A $202,5
COD.			            BOLSAS CAMISETAS (reforzadas)	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	BOLSAS	BOLSAS CAMISETAS REFORZADAS	20X30  blanca	8,00	100,00	$7,00	50,00	$350,00	12,50	PAQ	PAQ DE 100 UNID.  DE 20X30  blanca A $8 C/U	50 PAQS DE $7 C/U A $350	0,5 PAQS DE 100 UNIDADES A $350
	BOLSAS	BOLSAS CAMISETAS REFORZADAS	30x40   blanca	10,00	100,00	$8,25	20,00	$165,00	17,50	PAQ	PAQ DE 100 UNID.  DE 30x40   blanca A $10 C/U	20 PAQS DE $8,25 C/U A $165	0,2 PAQS DE 100 UNIDADES A $165
	BOLSAS	BOLSAS CAMISETAS REFORZADAS	40X50  blanca	15,00	100,00	$13,25	20,00	$265,00	11,67	PAQ	PAQ DE 100 UNID.  DE 40X50  blanca A $15 C/U	20 PAQS DE $13,25 C/U A $265	0,2 PAQS DE 100 UNIDADES A $265
	BOLSAS	BOLSAS CAMISETAS REFORZADAS	50x50  blanca	24,00	100,00	$21,60	15,00	$324,00	10,00	PAQ	PAQ DE 100 UNID.  DE 50x50  blanca A $24 C/U	15 PAQS DE $21,6 C/U A $324	0,15 PAQS DE 100 UNIDADES A $324
	BOLSAS	BOLSAS CAMISETAS REFORZADAS	45X60  blanca	24,00	100,00	$21,60	15,00	$324,00	10,00	PAQ	PAQ DE 100 UNID.  DE 45X60  blanca A $24 C/U	15 PAQS DE $21,6 C/U A $324	0,15 PAQS DE 100 UNIDADES A $324
	BOLSAS	BOLSAS CAMISETAS REFORZADAS	50X60  blanca	28,00	100,00	$25,80	20,00	$516,00	7,86	PAQ	PAQ DE 100 UNID.  DE 50X60  blanca A $28 C/U	20 PAQS DE $25,8 C/U A $516	0,2 PAQS DE 100 UNIDADES A $516
	BOLSAS	BOLSAS CAMISETAS REFORZADAS	50X70  blanca	30,00	100,00	$27,00	15,00	$405,00	10,00	PAQ	PAQ DE 100 UNID.  DE 50X70  blanca A $30 C/U	15 PAQS DE $27 C/U A $405	0,15 PAQS DE 100 UNIDADES A $405
	BOLSAS	BOLSAS CAMISETAS REFORZADAS	60X80  blanca	55,00	100,00	$49,50	10,00	$495,00	10,00	PAQ	PAQ DE 100 UNID.  DE 60X80  blanca A $55 C/U	10 PAQS DE $49,5 C/U A $495	0,1 PAQS DE 100 UNIDADES A $495
	BOLSAS	BOLSAS CAMISETAS REFORZADAS	45x65  (ciudad verde)  verde/negra	28,00	100,00	$25,50	10,00	$255,00	8,93	PAQ	PAQ DE 100 UNID.  DE 45x65  (ciudad verde)  verde/negra A $28 C/U	10 PAQS DE $25,5 C/U A $255	0,1 PAQS DE 100 UNIDADES A $255
COD.			               LAMINAS PARA FIAMBRES                                                                                     	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	LAMINAS	LAMINAS PARA FIAMBRES                                                                                     	20X25 CMS comun	36,00	0,90	$34,00	10,00	$340,00	5,56	KILO	0,9 KILOS  DE 20X25 CMS comun A $36 C/U	10 KILOS DE $34 C/U A $340	11,11111111 KILOS A $340
	LAMINAS	LAMINAS PARA FIAMBRES                                                                                     	20X25 CMS mapsa	42,00	1,00	$37,80	10,00	$378,00	10,00	KILO	1 KILO DE 20X25 CMS mapsa A $42	10 KILOS DE $37,8 C/U A $378	10 KILOS A $378
	LAMINAS	LAMINAS PARA FIAMBRES                                                                                     	20X25 CMS 	40,00	1,00	$36,00	10,00	$360,00	10,00	KILO	1 KILO DE 20X25 CMS  A $40	10 KILOS DE $36 C/U A $360	10 KILOS A $360
	LAMINAS	LAMINAS PARA FIAMBRES                                                                                     	25X37 CMS	43,00	1,00	$39,60	10,00	$396,00	7,91	KILO	1 KILO DE 25X37 CMS A $43	10 KILOS DE $39,6 C/U A $396	10 KILOS A $396
	LAMINAS	LAMINAS PARA FIAMBRES                                                                                     	37X50 CMS	47,00	1,00	$42,00	10,00	$420,00	10,64	KILO	1 KILO DE 37X50 CMS A $47	10 KILOS DE $42 C/U A $420	10 KILOS A $420
	LAMINAS	LAMINAS PARA FIAMBRES                                                                                     	13X13 CMS   P/HAMBURGUESA	30,00	1,50	$27,00	10,00	$270,00	10,00	KILO	1,5 KILOS  DE 13X13 CMS   P/HAMBURGUESA A $30 C/U	10 KILOS DE $27 C/U A $270	6,666666667 KILOS DE 1,5 UNIDADES A $270
	LAMINAS	LAMINAS PARA FIAMBRES                                                                                     	13X26 CMS   P/HAMBURGUESA (doble)	42,00	1,00	$37,80	10,00	$378,00	10,00	KILO	1 KILO DE 13X26 CMS   P/HAMBURGUESA (doble) A $42	10 KILOS DE $37,8 C/U A $378	10 KILOS A $378
													
COD.			                 BOLSAS DE CONSORCIO                      X MENOR                                                                   X MAYOR	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	BOLSAS	BOLSAS DE CONSORCIO	60X90  CMS X 10 	8,00	10,00	$6,00	40,00	$240,00	25,00	BOLSA	BOLSA DE 10 UNID.  DE 60X90  CMS X 10  A $8 C/U	40 BOLSAS DE $6 C/U A $240	4 BOLSAS DE 10 UNIDADES A $240
	BOLSAS	BOLSAS DE CONSORCIO	80X110CMS X 10	14,00	10,00	$12,60	20,00	$252,00	10,00	BOLSA	BOLSA DE 10 UNID.  DE 80X110CMS X 10 A $14 C/U	20 BOLSAS DE $12,6 C/U A $252	2 BOLSAS DE 10 UNIDADES A $252
	BOLSAS	BOLSAS DE CONSORCIO	90X120CMS X 10	18,00	10,00	$16,80	20,00	$336,00	6,67	BOLSA	BOLSA DE 10 UNID.  DE 90X120CMS X 10 A $18 C/U	20 BOLSAS DE $16,8 C/U A $336	2 BOLSAS DE 10 UNIDADES A $336
	BOLSAS	BOLSAS DE CONSORCIO	60X90  CMS X 50 reforzada	70,00	50,00	$65,00	10,00	$650,00	7,14	BOLSA	BOLSA DE 50 UNID.  DE 60X90  CMS X 50 reforzada A $70 C/U	10 BOLSAS DE $65 C/U A $650	0,2 BOLSAS DE 50 UNIDADES A $650
	BOLSAS	BOLSAS DE CONSORCIO	80X110CMS X 50 reforzada	140,00	50,00	$120,00	8,00	$960,00	14,29	BOLSA	BOLSA DE 50 UNID.  DE 80X110CMS X 50 reforzada A $140 C/U	8 BOLSAS DE $120 C/U A $960	0,16 BOLSAS DE 50 UNIDADES A $960
	BOLSAS	BOLSAS DE ESCOMBRO	Bolsas de escombro 45 x 65	2,00	50,00	$1,80	50,00	$90,00	10,00	BOLSA	BOLSA DE 50 UNID.  DE Bolsas de escombro 45 x 65 A $2 C/U	50 BOLSAS DE $1,8 C/U A $90	1 BOLSAS DE 50 UNIDADES A $90
													
COD.			                   BOLSAS DE RESIDUOS	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	BOLSAS	BOLSAS DE RESIDUOS	45X60 X 10 	3,00	10,00	$2,60	10,00	$26,00	13,33	PAQ	PAQ DE 10 UNID.  DE 45X60 X 10  A $3 C/U	10 PAQS DE $2,6 C/U A $26	1 PAQS DE 10 UNIDADES A $26
	BOLSAS	BOLSAS DE RESIDUOS	50X70 X 10	5,00	10,00	$3,20	10,00	$32,00	36,00	PAQ	PAQ DE 10 UNID.  DE 50X70 X 10 A $5 C/U	10 PAQS DE $3,2 C/U A $32	1 PAQS DE 10 UNIDADES A $32
	BOLSAS	BOLSAS DE RESIDUOS REFORZADA	45X60 X160 aprox 	125,00	1,00	$120,00	1,00	$120,00	4,00	ROLLO	1 ROLLO DE 45X60 X160 aprox  A $125	1 ROLLOS DE $120 C/U A $120	1 ROLLOS A $120
	BOLSAS	BOLSAS DE RESIDUOS REFORZADA	50X70 X170 aprox	125,00	1,00	$120,00	1,00	$120,00	4,00	ROLLO	1 ROLLO DE 50X70 X170 aprox A $125	1 ROLLOS DE $120 C/U A $120	1 ROLLOS A $120
													
COD.			                  BOLSAS PARA HORNO	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	BOLSAS	BOLSAS PARA HORNO	FREEZ-ORM 45X30X10	15,00	10,00	$12,48	25,00	$312,00	16,80	PAQ	PAQ DE 10 UNID.  DE FREEZ-ORM 45X30X10 A $15 C/U	25 PAQS DE $12,48 C/U A $312	2,5 PAQS DE 10 UNIDADES A $312
													
COD.			       BOLSAS DE PAPEL SULFITO/KRAFT	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	BOLSAS	BOLSAS DE PAPEL SULFITO/KRAFT	    Nº 1        	12,00	100,00	$10,20	20,00	$204,00	15,00	PAQ	PAQ DE 100 UNID.  DE     Nº 1         A $12 C/U	20 PAQS DE $10,2 C/U A $204	0,2 PAQS DE 100 UNIDADES A $204
	BOLSAS	BOLSAS DE PAPEL SULFITO/KRAFT	    Nº 1L	13,00	100,00	$10,95	20,00	$219,00	15,77	PAQ	PAQ DE 100 UNID.  DE     Nº 1L A $13 C/U	20 PAQS DE $10,95 C/U A $219	0,2 PAQS DE 100 UNIDADES A $219
	BOLSAS	BOLSAS DE PAPEL SULFITO/KRAFT	    Nº 2	14,00	100,00	$12,25	20,00	$245,00	12,50	PAQ	PAQ DE 100 UNID.  DE     Nº 2 A $14 C/U	20 PAQS DE $12,25 C/U A $245	0,2 PAQS DE 100 UNIDADES A $245
	BOLSAS	BOLSAS DE PAPEL SULFITO/KRAFT	    Nº 2L	15,00	100,00	$12,70	20,00	$254,00	15,33	PAQ	PAQ DE 100 UNID.  DE     Nº 2L A $15 C/U	20 PAQS DE $12,7 C/U A $254	0,2 PAQS DE 100 UNIDADES A $254
	BOLSAS	BOLSAS DE PAPEL SULFITO/KRAFT	    Nº 3	15,00	100,00	$12,70	20,00	$254,00	15,33	PAQ	PAQ DE 100 UNID.  DE     Nº 3 A $15 C/U	20 PAQS DE $12,7 C/U A $254	0,2 PAQS DE 100 UNIDADES A $254
	BOLSAS	BOLSAS DE PAPEL SULFITO/KRAFT	    Nº 3L	16,00	100,00	$15,20	20,00	$304,00	5,00	PAQ	PAQ DE 100 UNID.  DE     Nº 3L A $16 C/U	20 PAQS DE $15,2 C/U A $304	0,2 PAQS DE 100 UNIDADES A $304
	BOLSAS	BOLSAS DE PAPEL SULFITO/KRAFT	    Nº 4	17,00	100,00	$15,30	20,00	$306,00	10,00	PAQ	PAQ DE 100 UNID.  DE     Nº 4 A $17 C/U	20 PAQS DE $15,3 C/U A $306	0,2 PAQS DE 100 UNIDADES A $306
	BOLSAS	BOLSAS DE PAPEL SULFITO/KRAFT	    Nº 4A	18,00	100,00	$16,20	20,00	$324,00	10,00	PAQ	PAQ DE 100 UNID.  DE     Nº 4A A $18 C/U	20 PAQS DE $16,2 C/U A $324	0,2 PAQS DE 100 UNIDADES A $324
	BOLSAS	BOLSAS DE PAPEL SULFITO/KRAFT	    Nº 5	21,00	100,00	$18,90	20,00	$378,00	10,00	PAQ	PAQ DE 100 UNID.  DE     Nº 5 A $21 C/U	20 PAQS DE $18,9 C/U A $378	0,2 PAQS DE 100 UNIDADES A $378
	BOLSAS	BOLSAS DE PAPEL SULFITO/KRAFT	    Nº 6	23,00	100,00	$20,70	20,00	$414,00	10,00	PAQ	PAQ DE 100 UNID.  DE     Nº 6 A $23 C/U	20 PAQS DE $20,7 C/U A $414	0,2 PAQS DE 100 UNIDADES A $414
	BOLSAS	BOLSAS DE PAPEL SULFITO/KRAFT	    Nº 6L	25,00	100,00	$22,50	20,00	$450,00	10,00	PAQ	PAQ DE 100 UNID.  DE     Nº 6L A $25 C/U	20 PAQS DE $22,5 C/U A $450	0,2 PAQS DE 100 UNIDADES A $450
	BOLSAS	BOLSAS DE PAPEL SULFITO/KRAFT	    Nº 7	30,00	100,00	$28,80	10,00	$288,00	4,00	PAQ	PAQ DE 100 UNID.  DE     Nº 7 A $30 C/U	10 PAQS DE $28,8 C/U A $288	0,1 PAQS DE 100 UNIDADES A $288
	BOLSAS	BOLSAS DE PAPEL SULFITO/KRAFT	    Nº 8	38,00	100,00	$34,20	10,00	$342,00	10,00	PAQ	PAQ DE 100 UNID.  DE     Nº 8 A $38 C/U	10 PAQS DE $34,2 C/U A $342	0,1 PAQS DE 100 UNIDADES A $342
													
			              BANDEJAS DE EXPANDIDO	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	BANDEJAS	              BANDEJAS DE EXPANDIDO	 Nº 615	$0,70	1,00	$0,58	400,00	$232,00	17,14	BANDEJA	1 BANDEJA DE  Nº 615 A $0,7	400 BANDEJAS DE $0,58 C/U A $232	400 BANDEJAS A $232
	BANDEJAS	              BANDEJAS DE EXPANDIDO	 Nº 617	$0,40	1,00	$0,30	400,00	$120,00	25,00	BANDEJA	1 BANDEJA DE  Nº 617 A $0,4	400 BANDEJAS DE $0,3 C/U A $120	400 BANDEJAS A $120
	BANDEJAS	              BANDEJAS DE EXPANDIDO	 Nº 618	$0,50	1,00	$0,42	400,00	$168,00	16,00	BANDEJA	1 BANDEJA DE  Nº 618 A $0,5	400 BANDEJAS DE $0,42 C/U A $168	400 BANDEJAS A $168
	BANDEJAS	              BANDEJAS DE EXPANDIDO	OBLEA      Nº 618	$0,50	1,00	$0,42	600,00	$252,00	16,00	BANDEJA	1 BANDEJA DE OBLEA      Nº 618 A $0,5	600 BANDEJAS DE $0,42 C/U A $252	600 BANDEJAS A $252
	BANDEJAS	              BANDEJAS DE EXPANDIDO	 Nº 619	$0,70	1,00	$0,58	400,00	$232,00	17,14	BANDEJA	1 BANDEJA DE  Nº 619 A $0,7	400 BANDEJAS DE $0,58 C/U A $232	400 BANDEJAS A $232
	BANDEJAS	              BANDEJAS DE EXPANDIDO	OBLEA      Nº 619	$0,70	1,00	$0,58	400,00	$232,00	17,14	BANDEJA	1 BANDEJA DE OBLEA      Nº 619 A $0,7	400 BANDEJAS DE $0,58 C/U A $232	400 BANDEJAS A $232
	BANDEJAS	              BANDEJAS DE EXPANDIDO	 Nº 621	$0,50	1,00	$0,36	400,00	$144,00	28,00	BANDEJA	1 BANDEJA DE  Nº 621 A $0,5	400 BANDEJAS DE $0,36 C/U A $144	400 BANDEJAS A $144
	BANDEJAS	              BANDEJAS DE EXPANDIDO	 Nº 628( redonda)	$1,40	1,00	$1,14	200,00	$228,00	18,57	BANDEJA	1 BANDEJA DE  Nº 628( redonda) A $1,4	200 BANDEJAS DE $1,14 C/U A $228	200 BANDEJAS A $228
	BANDEJAS	              BANDEJAS DE EXPANDIDO	 Nº 625	$1,30	1,00	$1,02	200,00	$204,00	21,54	BANDEJA	1 BANDEJA DE  Nº 625 A $1,3	200 BANDEJAS DE $1,02 C/U A $204	200 BANDEJAS A $204
													
COD.			         BANDEJAS DE CARTON   ( GRIS)	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	BANDEJAS	BANDEJAS DE CARTON GRIS	    Nº 1	$18,00	1,00	$15,60	20,00	$312,00	13,33	BANDEJA	1 BANDEJA DE     Nº 1 A $18	20 BANDEJAS DE $15,6 C/U A $312	20 BANDEJAS A $312
	BANDEJAS	BANDEJAS DE CARTON GRIS	    Nº 2	$23,00	1,00	$20,47	15,00	$307,05	11,00	BANDEJA	1 BANDEJA DE     Nº 2 A $23	15 BANDEJAS DE $20,47 C/U A $307,05	15 BANDEJAS A $307,05
	BANDEJAS	BANDEJAS DE CARTON GRIS	    Nº 3	$31,00	1,00	$27,67	12,00	$332,04	10,74	BANDEJA	1 BANDEJA DE     Nº 3 A $31	12 BANDEJAS DE $27,67 C/U A $332,04	12 BANDEJAS A $332,04
	BANDEJAS	BANDEJAS DE CARTON GRIS	    Nº 4	$40,00	1,00	$36,00	12,00	$432,00	10,00	BANDEJA	1 BANDEJA DE     Nº 4 A $40	12 BANDEJAS DE $36 C/U A $432	12 BANDEJAS A $432
	BANDEJAS	BANDEJAS DE CARTON GRIS	    Nº 5	$46,00	1,00	$40,89	9,00	$368,01	11,11	BANDEJA	1 BANDEJA DE     Nº 5 A $46	9 BANDEJAS DE $40,89 C/U A $368,01	9 BANDEJAS A $368,01
	BANDEJAS	BANDEJAS DE CARTON GRIS	    Nº 6	$54,00	1,00	$48,00	6,00	$288,00	11,11	BANDEJA	1 BANDEJA DE     Nº 6 A $54	6 BANDEJAS DE $48 C/U A $288	6 BANDEJAS A $288
	BANDEJAS	BANDEJAS DE CARTON GRIS	    Nº 7	$74,00	1,00	$67,33	6,00	$403,98	9,01	BANDEJA	1 BANDEJA DE     Nº 7 A $74	6 BANDEJAS DE $67,33 C/U A $403,98	6 BANDEJAS A $403,98
	BANDEJAS	BANDEJAS DE CARTON GRIS	    Nº 8	$95,00	1,00	$86,33	6,00	$517,98	9,13	BANDEJA	1 BANDEJA DE     Nº 8 A $95	6 BANDEJAS DE $86,33 C/U A $517,98	6 BANDEJAS A $517,98
													
COD.			         BANDEJAS DE CARTON  ( BLANCA )	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	BANDEJAS	BANDEJAS DE CARTON BLANCA	    Nº 1	$0,24	100,00	$0,20	20,00	$4,00	16,67	PAQ	PAQ DE 100 UNID.  DE     Nº 1 A $0,24 C/U	20 PAQS DE $0,2 C/U A $4	0,2 PAQS DE 100 UNIDADES A $4
	BANDEJAS	BANDEJAS DE CARTON BLANCA	    Nº 2	$0,30	100,00	$0,27	15,00	$4,05	10,00	PAQ	PAQ DE 100 UNID.  DE     Nº 2 A $0,3 C/U	15 PAQS DE $0,27 C/U A $4,05	0,15 PAQS DE 100 UNIDADES A $4,05
	BANDEJAS	BANDEJAS DE CARTON BLANCA	    Nº 3	$0,46	100,00	$0,40	12,00	$4,80	13,04	PAQ	PAQ DE 100 UNID.  DE     Nº 3 A $0,46 C/U	12 PAQS DE $0,4 C/U A $4,8	0,12 PAQS DE 100 UNIDADES A $4,8
	BANDEJAS	BANDEJAS DE CARTON BLANCA	    Nº 4	$0,56	100,00	$0,50	12,00	$6,00	10,71	PAQ	PAQ DE 100 UNID.  DE     Nº 4 A $0,56 C/U	12 PAQS DE $0,5 C/U A $6	0,12 PAQS DE 100 UNIDADES A $6
	BANDEJAS	BANDEJAS DE CARTON BLANCA	    Nº 5	$0,66	100,00	$0,58	9,00	$5,22	12,12	PAQ	PAQ DE 100 UNID.  DE     Nº 5 A $0,66 C/U	9 PAQS DE $0,58 C/U A $5,22	0,09 PAQS DE 100 UNIDADES A $5,22
	BANDEJAS	BANDEJAS DE CARTON BLANCA	    Nº 6	$0,74	100,00	$0,66	4,00	$2,64	10,81	PAQ	PAQ DE 100 UNID.  DE     Nº 6 A $0,74 C/U	4 PAQS DE $0,66 C/U A $2,64	0,04 PAQS DE 100 UNIDADES A $2,64
	BANDEJAS	BANDEJAS DE CARTON BLANCA	    Nº 7	$1,00	100,00	$0,90	4,00	$3,60	10,00	PAQ	PAQ DE 100 UNID.  DE     Nº 7 A $1 C/U	4 PAQS DE $0,9 C/U A $3,6	0,04 PAQS DE 100 UNIDADES A $3,6
	BANDEJAS	BANDEJAS DE CARTON BLANCA	    Nº 8	$1,28	100,00	$1,14	4,00	$4,56	10,94	PAQ	PAQ DE 100 UNID.  DE     Nº 8 A $1,28 C/U	4 PAQS DE $1,14 C/U A $4,56	0,04 PAQS DE 100 UNIDADES A $4,56
COD.			      BANDEJAS DE CARTON REDONDAS	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
